#{"t_start": 1786032094.7954583, "env_id": "rendezvous-v1"}
r,l,t
-3173.303507,30,59.69054
-16841.414678,15,59.700045
-12858.243468,19,59.926316
-16682.451379,15,59.935826
-16300.109982,15,60.160601
-17723.058821,14,60.170114
-15876.236019,16,60.386312
-20114.889141,11,60.393318
-9156.136864,24,60.610563
-4208.525706,30,60.839811
-10763.416444,21,61.062024
-9608.083464,22,61.076745
-9106.249376,24,61.297888
-13754.878907,18,61.524142
-16337.49996,15,61.533149
-10309.762014,23,61.756351
-16826.672386,15,61.971257
-16836.368273,15,61.981763
-2442.74774,30,62.204946
-18215.696795,13,62.214452
-19609.943284,11,62.430677
-8021.234751,26,62.654
-5732.664247,26,62.877768
-14734.350761,17,62.889275
-15060.597259,16,63.108603
-15210.194502,16,63.118109
-17287.488827,14,63.358894
-17475.653231,14,63.3684
-2091.034917,30,63.602629
-9321.122014,23,63.828995
-21365.488929,10,63.835497
-8479.000359,26,64.062453
-10958.855,21,64.291856
-14620.753411,17,64.303899
-10848.512439,21,64.526194
-18992.386023,12,64.533701
-3105.448237,30,64.759404
-12737.021452,18,64.974225
-15880.501816,16,65.187644
-20059.716006,11,65.194645
-19506.705112,12,65.20316
-16581.25313,15,65.426854
-10645.389936,23,65.71135
-20703.468566,10,65.717854
-9728.660689,23,65.939261
-14027.987291,18,65.951766
-14830.338801,17,66.167009
-3572.861668,30,66.390112
-13953.269077,19,66.613693
-21342.867723,10,66.620199
-9926.020101,22,66.848454
-9170.692735,25,66.864621
-19398.976433,12,67.076292
-18567.043432,13,67.085339
-3570.759636,30,67.315077
-3131.646584,30,67.538277
-4315.484137,30,67.762173
-19657.446246,12,67.979306
-6416.267498,27,68.218595
-3654.381811,30,68.446506
-3764.096754,30,68.676268
-14280.889913,18,68.687776
-19415.750952,12,68.899651
-16180.740372,16,68.910163
-18483.075228,13,69.128902
-7021.835959,26,69.147428
-19149.039726,12,69.358847
-19397.043694,12,69.366348
-3950.548969,30,69.597733
-13756.480988,18,69.811665
-19193.169968,12,69.821172
-3741.606889,30,70.0538
-2900.407828,30,70.281962
-13865.886563,18,70.503745
-2426.064024,30,70.73926
-12837.89207,19,70.752275
-20236.774397,11,70.97314
-12355.743801,20,70.98565
-4819.619349,28,71.21549
-14115.206118,19,71.441229
-10719.721519,22,71.661397
-21231.649762,10,71.667902
-9234.363285,23,71.890133
-20227.831457,11,71.897635
-5274.56358,26,72.125588
-7375.794705,25,72.349018
-15790.393541,16,72.359526
-4496.973093,28,72.585457
-15352.575411,16,72.802331
-19419.036387,11,72.810844
-13380.913035,18,73.030214
-3962.233977,29,73.264178
-12453.718455,19,73.503417
-14321.960227,17,73.51492
-3535.862668,30,73.744675
-5137.107495,28,73.96842
-14391.372878,17,74.193367
-3743.337006,30,74.417102
-5522.389568,27,74.435506
-10904.215869,21,74.660783
-4751.59469,28,74.894366
-13515.654329,18,75.113985
-24165.399033,6,75.118488
-5735.349064,27,75.3423
-12094.142428,21,75.563403
-1637.986422,30,75.791274
-19433.287867,11,75.798779
-8606.921261,25,76.018534
-16582.612915,15,76.029046
-12371.024083,20,76.250577
-9100.403885,23,76.469786
-3548.452678,30,76.695569
-1245.005879,30,76.928375
-22459.324804,8,76.933378
-17522.539588,15,76.943886
-8656.952636,24,77.169333
-11476.617297,19,77.388776
-3563.717383,30,77.624607
-17852.030423,13,77.633116
-17201.341924,14,77.848335
-12883.027192,20,77.862359
-12871.800327,19,78.083521
-1074.962559,30,78.317524
-14004.878838,17,78.552777
-11987.80691,22,78.567288
-7284.998745,26,78.793504
-3394.018925,30,79.021633
-9457.785482,22,79.244403
-9555.428219,23,79.467506
-5499.674736,27,79.691952
-8877.116527,24,79.707463
-9245.174619,23,79.92758
-16932.044411,14,80.142118
-7252.351213,27,80.369207
-3882.287963,30,80.592865
-2166.520659,30,80.823651
-9769.203609,25,80.839666
-2399.738046,30,81.082177
-2572.225905,30,81.314517
-4975.181516,28,81.543856
-3503.47142,30,81.778569
-18819.037807,12,81.998492
-2756.788586,30,82.223982
-1290.410852,30,82.454416
-14741.475478,18,82.466429
-4352.779471,30,82.704216
-1245.459881,30,82.944256
-5267.084912,29,83.174894
-7586.554093,25,83.410373
-19025.049965,12,83.618593
-15158.805894,17,83.630107
-6778.147856,25,83.848796
-1818.790495,30,84.080486
-8133.418637,23,84.299041
-4840.015473,27,84.524574
-17391.058667,14,84.534088
-5522.579558,28,84.762508
-12505.48325,20,84.979661
-10235.577523,23,84.996174
-2969.408131,30,85.212195
-4630.092236,27,85.440046
-3973.320394,30,85.658028
-3740.824353,29,85.891147
-12630.666578,19,86.104053
-11303.914415,22,86.321915
-12253.433412,21,86.335964
-3891.14919,30,86.566341
-11179.861578,20,86.792826
-9013.242785,22,87.070924
-2551.989694,30,87.303864
-6192.032298,27,87.529094
-2595.696113,30,87.751566
-17794.379328,13,87.760075
-1659.831986,30,87.9794
-7393.02875,24,88.201946
-4500.766167,29,88.446747
-3187.249258,30,88.682013
-3226.519692,30,88.912147
-2679.542578,30,89.139682
-2384.767565,30,89.356218
-2605.887415,30,89.58755
-2882.552872,30,89.817246
-17721.673327,14,89.82676
-10570.559449,20,90.04045
-1153.265825,30,90.260293
-9731.195666,23,90.481455
-22289.409233,8,90.486455
-7257.601143,26,90.713736
-1976.967447,30,90.943014
-2946.847264,30,91.171265
-1756.740674,30,91.406778
-1814.503703,30,91.634505
-1475.589522,30,92.834022
-21424.558889,9,92.839527
-4288.050381,30,93.067333
-3732.861487,30,93.288744
-1954.471145,30,93.517068
-5198.933802,29,93.737483
-1163.663143,30,93.968003
-1579.12647,30,94.213939
-1665.663784,30,94.429706
-2122.194626,30,94.659595
-8663.149076,22,94.877749
-3166.187637,30,95.100508
-4277.125174,30,95.320075
-1513.975049,30,95.541558
-3616.884427,30,95.773772
-3681.638612,30,96.001472
-1420.475277,30,96.240305
-4880.780977,26,96.457851
-3599.215867,30,96.691016
-7788.62903,26,96.915456
-3298.413579,30,97.139326
-1946.702173,30,97.370925
-1018.87169,30,97.599404
-1421.394102,30,97.832355
-5692.045206,26,97.847862
-1023.136797,30,98.073267
-1444.79513,30,98.297602
-2616.513613,30,98.527588
-2664.531792,30,98.744341
-2285.612015,30,98.993769
-989.005642,30,99.221668
-1254.023319,30,99.446274
-1168.067651,30,99.674721
-2403.330076,30,99.90013
-3982.119033,30,100.120136
-3787.733298,28,100.343178
-8826.132232,25,100.567887
-1868.919509,30,100.80025
-3052.76355,30,101.026477
-3838.814529,30,101.260936
-14803.911409,17,101.486256
-992.084071,30,101.714485
-5252.127973,30,101.948609
-6643.07902,24,102.169408
-1360.021769,30,102.394604
-803.68274,30,102.618367
-800.593685,30,102.839716
-1753.900345,30,103.066521
-1191.314203,30,103.290143
-3142.847179,30,103.516966
-6464.497781,27,103.762736
-4025.97999,30,103.98126
-1216.698499,30,104.207868
-5944.64659,25,104.223886
-2035.372859,30,104.453923
-2987.398235,29,104.678648
-4132.580823,27,104.899813
-2985.39175,30,105.13197
-2192.343493,30,105.351816
-1442.598879,30,105.582074
-1140.698991,30,105.804006
-1206.045035,30,106.033929
-674.750003,30,106.2572
-12177.543267,21,106.486127
-845.787504,30,106.713551
-950.519181,30,106.938385
-1097.870849,30,107.166579
-4370.831645,30,107.394125
-1933.753496,30,107.626969
-2893.637748,30,107.856573
-3395.667251,30,108.088814
-3248.310729,30,108.314562
-2124.558099,30,108.559062
-1931.064927,30,108.776092
-4048.58699,30,109.003112
-2719.296365,30,109.225609
-8627.412445,25,109.462481
-2974.157282,30,109.682606
-2663.451821,30,109.907168
-1460.898526,30,110.143167
-1160.900779,30,110.371239
-5472.661421,25,110.597514
-776.975199,30,110.82227
-1394.149557,30,111.044904
-617.999417,30,111.260645
-2367.853901,30,111.484511
-559.867114,30,111.711511
-12600.635825,18,111.773181
-1197.79061,30,112.005926
-1232.362157,30,112.234503
-4491.453882,27,112.45357
-1323.806031,30,112.681596
-1369.969065,30,112.908895
-4081.657739,27,113.132783
-1192.303915,30,113.359697
-8955.601056,22,113.603945
-1170.287946,30,113.834118
-3178.773458,29,114.05589
-1680.597022,30,114.285934
-1584.933603,30,114.518962
-3922.336865,28,114.744223
-2002.654538,30,114.98702
-1780.002206,30,115.223739
-1174.056091,30,115.447337
-2124.954585,30,115.673234
-1065.335139,30,115.895964
-1414.03035,30,116.130783
-1114.638084,30,116.359067
-520.347491,30,116.614979
-1502.733025,30,116.845901
-668.348859,30,117.075239
-395.496427,30,117.302865
-9384.9132,21,117.316875
-12324.253627,18,117.536443
-1706.717758,30,117.757722
-1319.058959,30,117.980337
-3799.800149,30,118.201336
-1215.457514,30,118.431299
-1075.303841,30,118.682249
-2013.524351,30,118.911098
-801.498986,30,119.141095
-1027.772621,30,119.371327
-2027.457528,30,119.598387
-1852.271865,30,119.82257
